ticket;classe;tipo_provento;valor_recebido;data_pgto;mes;ano;status
KNCR11;FII;Dividendos;R$ 13,80;13/07/2023;7;2023;PAGO
KDIF11;FII-Infra;Dividendos;R$ 8,00;07/07/2023;7;2023;PAGO
JSRE11;FII;Dividendos;R$ 4,60;14/07/2023;7;2023;PAGO
HSML11;FII;Dividendos;R$ 7,40;07/07/2023;7;2023;PAGO
VSLH11;FII;Dividendos;R$ 1,50;14/07/2023;7;2023;PAGO
BRCR11;FII;Dividendos;R$ 4,50;14/07/2023;7;2023;PAGO
RECR11;FII;Dividendos;R$ 4,53;14/07/2023;7;2023;PAGO
RECT11;FII;Dividendos;R$ 2,00;14/07/2023;7;2023;PAGO
CMIG4;Ação;JCP;R$ 4,94;30/06/2024;6;2024;PAGO
CMIG4;Ação;JCP;R$ 4,94;30/12/2024;12;2024;PAGO
ITSA4;Ação;JCP;R$ 3,21;25/08/2023;8;2023;PAGO
IRDM11;FII;Dividendos;R$ 10,49;18/07/2023;7;2023;PAGO
VGIR11;FII;Dividendos;R$ 4,42;19/07/2023;7;2023;PAGO
BTLG11;FII;Dividendos;R$ 6,08;25/07/2023;7;2023;PAGO
XPML11;FII;Dividendos;R$ 4,15;25/07/2023;7;2023;PAGO
ALZR11;FII;Dividendos;R$ 5,78;25/07/2023;7;2023;PAGO
SANB4;Ação;JCP;R$ 5,39;16/08/2023;8;2023;PAGO
MALL11;FII;Dividendos;R$ 4,00;14/08/2023;8;2023;PAGO
MXRF11;FII;Dividendos;R$ 18,05;14/08/2023;8;2023;PAGO
BODB11;FII-Infra;Dividendos;R$ 13,99;07/08/2023;8;2023;PAGO
KNCR11;FII;Dividendos;R$ 13,80;14/08/2023;8;2023;PAGO
HSML11;FII;Dividendos;R$ 7,40;07/08/2023;8;2023;PAGO
KNRI11;FII;Dividendos;R$ 6,65;14/08/2023;8;2023;PAGO
HGLG11;FII;Dividendos;R$ 11,00;14/08/2023;8;2023;PAGO
JSRE11;FII;Dividendos;R$ 4,60;14/08/2023;8;2023;PAGO
KDIF11;FII-Infra;Dividendos;R$ 8,00;07/08/2023;8;2023;PAGO
XPLG11;FII;Dividendos;R$ 8,58;14/08/2023;8;2023;PAGO
TVRI11;FII;Dividendos;R$ 3,60;14/08/2023;8;2023;PAGO
VINO11;FII;Dividendos;R$ 3,10;14/08/2023;8;2023;PAGO
JURO11;FII-Infra;Dividendos;R$ 12,00;14/08/2023;8;2023;PAGO
VSLH11;FII;Dividendos;R$ 1,50;14/08/2023;8;2023;PAGO
RECR11;FII;Dividendos;R$ 5,70;14/08/2023;8;2023;PAGO
RECT11;FII;Dividendos;R$ 2,00;14/08/2023;8;2023;PAGO
BRCR11;FII;Dividendos;R$ 4,50;14/08/2023;8;2023;PAGO
KLBN11;Ação;Dividendos;R$ 7,31;15/08/2023;8;2023;PAGO
TAEE11;Ação;Dividendos;R$ 0,75;29/08/2023;8;2023;PAGO
IRDM11;FII;Dividendos;R$ 9,70;16/08/2023;8;2023;PAGO
TAEE11;Ação;Dividendos;R$ 3,94;29/08/2023;8;2023;PAGO
TAEE11;Ação;JCP;R$ 7,47;29/08/2023;8;2023;PAGO
VGIR11;FII;Dividendos;R$ 5,52;17/08/2023;8;2023;PAGO
BBSE3;Ação;Dividendos;R$ 48,22;28/08/2023;8;2023;PAGO
BTLG11;FII;Dividendos;R$ 6,84;25/08/2023;8;2023;PAGO
XPML11;FII;Dividendos;R$ 4,20;25/08/2023;8;2023;PAGO
ALZR11;FII;Dividendos;R$ 5,77;25/08/2023;8;2023;PAGO
ITSA4;Ação;JCP;R$ 0,66;02/10/2023;10;2023;PAGO
GGBR4;Ação;Dividendos;R$ 4,30;29/08/2023;8;2023;PAGO
UGPA3;Ação;Dividendos;R$ 1,25;25/08/2023;8;2023;PAGO
BBAS3;Ação;Dividendos;R$ 0,14;30/08/2023;8;2023;PAGO
BBAS3;Ação;JCP;R$ 0,56;30/08/2023;8;2023;PAGO
BODB11;FII-Infra;Dividendos;R$ 16,17;08/09/2023;9;2023;PAGO
HSML11;FII;Dividendos;R$ 7,40;08/09/2023;9;2023;PAGO
KDIF11;FII-Infra;Dividendos;R$ 8,00;08/09/2023;9;2023;PAGO
KNCR11;FII;Dividendos;R$ 14,40;14/09/2023;9;2023;PAGO
HGLG11;FII;Dividendos;R$ 11,00;15/09/2023;9;2023;PAGO
JURO11;FII-Infra;Dividendos;R$ 14,00;15/09/2023;9;2023;PAGO
MXRF11;FII;Dividendos;R$ 16,61;15/09/2023;9;2023;PAGO
VINO11;FII;Dividendos;R$ 3,00;15/09/2023;9;2023;PAGO
JSRE11;FII;Dividendos;R$ 4,60;15/09/2023;9;2023;PAGO
TVRI11;FII;Dividendos;R$ 3,60;15/09/2023;9;2023;PAGO
XPLG11;FII;Dividendos;R$ 8,58;15/09/2023;9;2023;PAGO
MALL11;FII;Dividendos;R$ 4,25;15/09/2023;9;2023;PAGO
KNRI11;FII;Dividendos;R$ 6,65;15/09/2023;9;2023;PAGO
BBAS3;Ação;JCP;R$ 0,29;29/09/2023;9;2023;PAGO
VSLH11;FII;Dividendos;R$ 1,50;15/09/2023;9;2023;PAGO
RECT11;FII;Dividendos;R$ 2,00;15/09/2023;9;2023;PAGO
RECR11;FII;Dividendos;R$ 4,77;15/09/2023;9;2023;PAGO
BRCR11;FII;Dividendos;R$ 4,10;15/09/2023;9;2023;PAGO
IRDM11;FII;Dividendos;R$ 8,87;19/09/2023;9;2023;PAGO
VGIR11;FII;Dividendos;R$ 6,50;20/09/2023;9;2023;PAGO
BDIF11;FII-Infra;Dividendos;R$ 4,05;22/09/2023;9;2023;PAGO
BTLG11;FII;Dividendos;R$ 6,84;25/09/2023;9;2023;PAGO
ALZR11;FII;Dividendos;R$ 5,77;25/09/2023;9;2023;PAGO
XPML11;FII;Dividendos;R$ 4,25;25/09/2023;9;2023;PAGO
CSMG3;Ação;JCP;R$ 0,57;14/11/2023;11;2023;PAGO
CMIG4;Ação;JCP;R$ 6,05;30/06/2024;6;2024;PAGO
CMIG4;Ação;JCP;R$ 6,05;30/12/2024;12;2024;PAGO
BODB11;FII-Infra;Dividendos;R$ 18,24;06/10/2023;10;2023;PAGO
KDIF11;FII-Infra;Dividendos;R$ 8,00;06/10/2023;10;2023;PAGO
HSML11;FII;Dividendos;R$ 7,40;06/10/2023;10;2023;PAGO
KNCR11;FII;Dividendos;R$ 13,20;13/10/2023;10;2023;PAGO
HGLG11;FII;Dividendos;R$ 11,00;16/10/2023;10;2023;PAGO
JSRE11;FII;Dividendos;R$ 4,60;16/10/2023;10;2023;PAGO
VINO11;FII;Dividendos;R$ 3,00;16/10/2023;10;2023;PAGO
MALL11;FII;Dividendos;R$ 4,25;16/10/2023;10;2023;PAGO
JURO11;FII-Infra;Dividendos;R$ 13,50;16/10/2023;10;2023;PAGO
KNRI11;FII;Dividendos;R$ 7,00;16/10/2023;10;2023;PAGO
XPLG11;FII;Dividendos;R$ 8,50;16/10/2023;10;2023;PAGO
MXRF11;FII;Dividendos;R$ 16,61;16/10/2023;10;2023;PAGO
TVRI11;FII;Dividendos;R$ 3,60;16/10/2023;10;2023;PAGO
CPLE11;Ação;JCP;R$ 0,67;30/11/2023;11;2023;PAGO
RECT11;FII;Dividendos;R$ 2,00;16/10/2023;10;2023;PAGO
BRCR11;FII;Dividendos;R$ 4,10;16/10/2023;10;2023;PAGO
VSLH11;FII;Dividendos;R$ 1,50;16/10/2023;10;2023;PAGO
RECR11;FII;Dividendos;R$ 5,99;16/10/2023;10;2023;PAGO
IRDM11;FII;Dividendos;R$ 9,60;18/10/2023;10;2023;PAGO
VGIR11;FII;Dividendos;R$ 6,36;19/10/2023;10;2023;PAGO
BTLG11;FII;Dividendos;R$ 6,84;25/10/2023;10;2023;PAGO
BDIF11;FII-Infra;Dividendos;R$ 6,75;23/10/2023;10;2023;PAGO
ALZR11;FII;Dividendos;R$ 5,77;24/10/2023;10;2023;PAGO
XPML11;FII;Dividendos;R$ 4,25;25/10/2023;10;2023;PAGO
SANB4;Ação;Dividendos;R$ 1,60;10/11/2023;11;2023;PAGO
SANB4;Ação;JCP;R$ 4,03;10/11/2023;11;2023;PAGO
CXSE3;Ação;JCP;R$ 50,00;06/11/2023;11;2023;PAGO
KLBN11;Ação;JCP;R$ 7,50;14/11/2023;11;2023;PAGO
KDIF11;FII-Infra;Dividendos;R$ 8,00;08/11/2023;11;2023;PAGO
BODB11;FII-Infra;Dividendos;R$ 15,60;08/11/2023;11;2023;PAGO
HSML11;FII;Dividendos;R$ 7,40;08/11/2023;11;2023;PAGO
KNCR11;FII;Dividendos;R$ 13,32;14/11/2023;11;2023;PAGO
XPLG11;FII;Dividendos;R$ 8,58;16/11/2023;11;2023;PAGO
HGLG11;FII;Dividendos;R$ 11,00;16/11/2023;11;2023;PAGO
VINO11;FII;Dividendos;R$ 3,00;16/11/2023;11;2023;PAGO
KNRI11;FII;Dividendos;R$ 7,00;16/11/2023;11;2023;PAGO
JSRE11;FII;Dividendos;R$ 4,60;16/11/2023;11;2023;PAGO
MALL11;FII;Dividendos;R$ 4,25;16/11/2023;11;2023;PAGO
MXRF11;FII;Dividendos;R$ 16,51;16/11/2023;11;2023;PAGO
JURO11;FII-Infra;Dividendos;R$ 13,50;16/11/2023;11;2023;PAGO
TVRI11;FII;Dividendos;R$ 3,64;16/11/2023;11;2023;PAGO
VSLH11;FII;Dividendos;R$ 2,00;16/11/2023;11;2023;PAGO
RECR11;FII;Dividendos;R$ 6,24;16/11/2023;11;2023;PAGO
RECT11;FII;Dividendos;R$ 2,00;16/11/2023;11;2023;PAGO
BRCR11;FII;Dividendos;R$ 4,10;16/11/2023;11;2023;PAGO
IRDM11;FII;Dividendos;R$ 8,54;20/11/2023;11;2023;PAGO
VGIR11;FII;Dividendos;R$ 6,72;21/11/2023;11;2023;PAGO
BTLG11;FII;Dividendos;R$ 6,84;24/11/2023;11;2023;PAGO
BDIF11;FII-Infra;Dividendos;R$ 5,00;23/11/2023;11;2023;PAGO
XPML11;FII;Dividendos;R$ 5,10;24/11/2023;11;2023;PAGO
ALZR11;FII;Dividendos;R$ 5,77;24/11/2023;11;2023;PAGO
TAEE11;Ação;Dividendos;R$ 0,23;15/12/2023;12;2023;PAGO
TAEE11;Ação;JCP;R$ 9,89;15/12/2023;12;2023;PAGO
BBAS3;Ação;Dividendos;R$ 0,10;30/11/2023;11;2023;PAGO
BBAS3;Ação;JCP;R$ 0,67;30/11/2023;11;2023;PAGO
GGBR4;Ação;Dividendos;R$ 4,70;13/12/2023;12;2023;PAGO
KDIF11;FII-Infra;Dividendos;R$ 8,00;07/12/2023;12;2023;PAGO
BODB11;FII-Infra;Dividendos;R$ 16,00;07/12/2023;12;2023;PAGO
HSML11;FII;Dividendos;R$ 7,40;07/12/2023;12;2023;PAGO
KNCR11;FII;Dividendos;R$ 12,12;13/12/2023;12;2023;PAGO
XPLG11;FII;Dividendos;R$ 8,58;13/12/2023;12;2023;PAGO
MXRF11;FII;Dividendos;R$ 16,61;14/12/2023;12;2023;PAGO
JSRE11;FII;Dividendos;R$ 4,60;14/12/2023;12;2023;PAGO
KNRI11;FII;Dividendos;R$ 7,00;14/12/2023;12;2023;PAGO
VINO11;FII;Dividendos;R$ 2,90;14/12/2023;12;2023;PAGO
HGLG11;FII;Dividendos;R$ 11,00;14/12/2023;12;2023;PAGO
TVRI11;FII;Dividendos;R$ 3,64;14/12/2023;12;2023;PAGO
JURO11;FII-Infra;Dividendos;R$ 13,50;14/12/2023;12;2023;PAGO
MALL11;FII;Dividendos;R$ 4,00;14/12/2023;12;2023;PAGO
RECT11;FII;Dividendos;R$ 2,00;14/12/2023;12;2023;PAGO
BRCR11;FII;Dividendos;R$ 4,10;14/12/2023;12;2023;PAGO
VSLH11;FII;Dividendos;R$ 2,00;14/12/2023;12;2023;PAGO
RECR11;FII;Dividendos;R$ 6,20;14/12/2023;12;2023;PAGO
IRDM11;FII;Dividendos;R$ 9,24;18/12/2023;12;2023;PAGO
BODB11;FII-Infra;Dividendos;R$ 8,00;19/12/2023;12;2023;PAGO
VGIR11;FII;Dividendos;R$ 6,16;19/12/2023;12;2023;PAGO
BDIF11;FII-Infra;Dividendos;R$ 5,00;21/12/2023;12;2023;PAGO
ALZR11;FII;Dividendos;R$ 5,77;22/12/2023;12;2023;PAGO
XPML11;FII;Dividendos;R$ 5,40;22/12/2023;12;2023;PAGO
BTLG11;FII;Dividendos;R$ 7,60;22/12/2023;12;2023;PAGO
BBAS3;Ação;Dividendos;R$ 0,29;28/12/2023;12;2023;PAGO
ISAE4;Ação;Dividendos;R$ 2,06;15/01/2024;1;2024;PAGO
ITSA4;Ação;JCP;R$ 0,72;02/01/2024;1;2024;PAGO
AMAR3;Ação;Dividendos;R$ 2,06;26/12/2023;12;2023;PAGO
UNIP3;Ação;Dividendos;R$ 1,41;28/12/2023;12;2023;PAGO
CMIG4;Ação;JCP;R$ 25,54;28/06/2024;6;2024;PAGO
VBBR3;Ação;JCP;R$ 6,86;29/05/2024;5;2024;PAGO
ISAE4;Ação;Dividendos;R$ 16,67;10/04/2024;4;2024;PAGO
KDIF11;FII-Infra;Dividendos;R$ 8,80;08/01/2024;1;2024;PAGO
